title,σ SMB,SMB,D,σ D,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,
All GL Locations (1),2.036165881409689,15.406269813738739,15.566704134591419,1.351961458351074,15.323740102090149,15.350270378798536,15.255826417108477,17.778582669503052,,,14.10807039020587,16.374976400141527,14.835666472925771,19.936642877596007,14.486029942621812,16.48637345019145,16.226676511706803,14.819936980792196,15.582604822446868,15.128610839419146,14.979283153574652,13.390481276793444,15.683739391356838,13.578425217890693,16.261073832341804,14.937158150847832,15.00958121354412,16.535268253716538,15.965176349989093,,
All GL Locations (2),2.036165881409689,15.406269813738739,13.611290144100723,1.232424225482264,13.786309916965694,13.221727845392204,12.870824060512078,16.77713206302147,,,12.05125390653274,13.607575273559764,13.02450376468654,13.680250368260301,16.900368261352536,14.447218364090954,14.38459610688275,12.747028902889802,14.1748476669739,13.307395959466461,12.897831400820346,11.322001427170152,13.440301181981946,12.602852694054675,13.972742735213155,13.21122799460059,12.717805605929245,13.990436993607593,13.92344082035175,,
All GL Locations (3),2.036165881409689,15.406269813738739,16.313102148358606,1.4580270461399831,16.26278543416816,16.19393214036392,15.760306150890909,19.908907545910765,,,14.020043391984544,17.056602968456847,15.675670025442123,20.441952323848852,15.1029472530412,16.65503151200627,17.067346079035396,15.419841901407496,16.180098436578312,15.833213844107696,16.039743233441932,14.178245425746976,16.377209798157566,14.561874972226759,16.948036165301456,15.668685423896328,16.172611460833625,17.048770504763294,16.627493420637506,,
All GL Locations (4),2.036165881409689,15.406269813738739,13.09558545640034,1.0173998339584445,13.666952129997307,12.704875258955012,12.494987152969426,16.147778103742592,,,11.362684504966733,13.351294328620863,12.59880563808506,14.947067459483275,13.334671372979615,13.776765996803457,13.82158119417797,12.370852309804276,13.487495233776944,12.690725961248075,12.532979285623034,11.311944189300593,12.831790696515897,12.327408648015334,13.498544837773316,12.842139581076605,12.390451503338916,13.393790570480055,13.312879539473395,,
All GL Locations (5),2.036165881409689,15.406269813738739,15.500607318893083,1.2203201891800948,15.430488643639091,15.260573992882666,15.14289601124464,18.51493920063433,,,13.358098591773318,16.392689173839898,15.08201665858656,18.02479141590915,14.740004566171017,16.320400878768012,16.280614424542577,14.770219139727368,15.675108786019523,15.233749187131904,14.977687798752484,13.420517590467975,15.627596089231503,13.577409031413731,16.157671057419876,14.896786794165955,15.121127981461111,16.53360934516695,15.974971975591293,,
""
