Method,Total Mass Balance,Average Mass Balance,CCC
GRACE-derived Total Mass Balance,7.796805372669002,0.32642287314300517,1.0
ATL15-derived Total Mass Balance,7.069954054450412,0.7755701817584416,0.3779511274348969
CryoSat-derived Total Mass Balance,3.386754847094516,0.5456168827748156,-0.020706020711245023
Rignot (2018),-74.75411541646993,-4.353888888888889,0.4779758156070119
Basin-wide IPR Flux Gate,-350.46264538476163,-14.401226160274046,-0.36702180020097924
Narrow IPR Flux Gate,-197.04133537574825,-8.202357347697342,-0.5704060938599725
Inland GL,-11.380959853584576,-0.4774733135306677,-0.5057881047771388
Offshore GL,36.003279838413846,1.5257237264983987,-0.965487076758124
