Method,Total Mass Balance,Average Mass Balance,CCC
GRACE-derived Total Mass Balance,7.8341489554321235,0.32642287314300517,1.0
ATL15-derived Total Mass Balance,4.6534210905506495,0.7755701817584416,0.3779511274348969
CryoSat-derived Total Mass Balance,7.638636358847418,0.5456168827748156,-0.020706020711245023
Rignot (2018),-78.37,-4.353888888888889,0.4779758156070119
Basin-wide IPR Flux Gate,-519.8824206833417,-11.30179175398569,0.12621325126558225
Narrow IPR Flux Gate,-519.8824206833417,-11.30179175398569,0.12621325126558225
Inland GL,-519.8824206833417,-11.30179175398569,0.12621325126558225
Offshore GL,-519.8824206833417,-11.30179175398569,0.12621325126558225
