,diff,y,x,band,spatial_ref,elevation_rema,geometry,index_icesat2,latitude,longitude,velocity,date,elevation_icesat2,dist
93936,1.2140674591064453,-1854189.6775510204,1843703.865276664,1,0,24.329573,POINT (1843703.865276664 -1854189.6775510204),1047395,-66.26586035873183,135.16250864009925,,2022-01-09,25.54364013671875,14.985345352688576
93937,1.5940208435058594,-1854189.6775510204,1843733.3376102648,1,0,23.946712,POINT (1843733.3376102648 -1854189.6775510204),1047397,-66.26532853134415,135.16235752167532,,2022-01-09,25.540733337402344,29.24060930795939
95184,1.9161128997802734,-1854220.2163265306,1843733.3376102648,1,0,23.62462,POINT (1843733.3376102648 -1854220.2163265306),1047397,-66.26532853134415,135.16235752167532,,2022-01-09,25.540733337402344,6.405749255107816
95185,1.1650619506835938,-1854220.2163265306,1843762.8099438653,1,0,24.375671,POINT (1843762.8099438653 -1854220.2163265306),1047397,-66.26532853134415,135.16235752167532,,2022-01-09,25.540733337402344,23.44876860819631
96432,1.8061885833740234,-1854250.7551020407,1843762.8099438653,1,0,23.758734,POINT (1843762.8099438653 -1854250.7551020407),1047399,-66.26479652713637,135.16220590375437,,2022-01-09,25.564922332763672,24.617408752801257
96433,0.03281593322753906,-1854250.7551020407,1843792.282277466,1,0,25.532106,POINT (1843792.282277466 -1854250.7551020407),1047399,-66.26479652713637,135.16220590375437,,2022-01-09,25.564922332763672,7.647514605743468
97680,1.3571529388427734,-1854281.293877551,1843792.282277466,1,0,24.20777,POINT (1843792.282277466 -1854281.293877551),1047399,-66.26479652713637,135.16220590375437,,2022-01-09,25.564922332763672,25.753767495071443
97681,1.6174087524414062,-1854281.293877551,1843821.7546110665,1,0,23.99236,POINT (1843821.7546110665 -1854281.293877551),1047401,-66.2642667379251,135.16199876499627,,2022-01-09,25.60976791381836,17.70331183223552
97682,1.5327949523925781,-1854281.293877551,1843851.2269446673,1,0,24.076973,POINT (1843851.2269446673 -1854281.293877551),1047401,-66.2642667379251,135.16199876499627,,2022-01-09,25.60976791381836,18.742019980409008
98928,1.4819507598876953,-1854311.8326530613,1843821.7546110665,1,0,24.127817,POINT (1843821.7546110665 -1854311.8326530613),1047401,-66.2642667379251,135.16199876499627,,2022-01-09,25.60976791381836,24.32489897941103
98929,1.6834278106689453,-1854311.8326530613,1843851.2269446673,1,0,23.92634,POINT (1843851.2269446673 -1854311.8326530613),1047401,-66.2642667379251,135.16199876499627,,2022-01-09,25.60976791381836,25.090969958836432
98930,1.3134593963623047,-1854311.8326530613,1843880.6992782678,1,0,24.406443,POINT (1843880.6992782678 -1854311.8326530613),1047403,-66.2637339062453,135.16184847481975,,2022-01-09,25.71990203857422,18.312607960672
